Gender,DP
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Oppose
Male,Oppose
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Oppose
Male,Oppose
Male,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Oppose
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Oppose
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Male,Oppose
Female,Oppose
Male,Oppose
Male,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Oppose
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Female,Favor
Male,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Male,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Oppose
Female,Oppose
Male,Oppose
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Male,Oppose
Female,Oppose
Male,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Oppose
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Oppose
Male,Oppose
Male,Oppose
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Female,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Oppose
Male,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Male,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Male,Favor
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Male,Favor
Female,Oppose
Male,Oppose
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Oppose
Male,Favor
Male,Oppose
Female,Favor
Male,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Oppose
Female,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Male,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Oppose
Male,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Oppose
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Oppose
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Female,Oppose
Male,Favor
Male,Favor
Male,Oppose
Male,Favor
Male,Favor
Male,Oppose
Male,Oppose
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Male,Favor
Female,Favor
Male,Oppose
Female,Oppose
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Oppose
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Oppose
Male,Oppose
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Oppose
Male,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Male,Oppose
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Female,Oppose
Male,Oppose
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Oppose
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Oppose
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Female,Oppose
Male,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Male,Oppose
Male,Oppose
Female,Favor
Male,Oppose
Female,Favor
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Female,Oppose
Male,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Oppose
Female,Oppose
Male,Favor
Male,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Male,Oppose
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Male,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Oppose
Female,Oppose
Male,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Male,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Male,Favor
Female,Oppose
Male,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Oppose
Male,Oppose
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Oppose
Female,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Oppose
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Oppose
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Oppose
Male,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Male,Oppose
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Male,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Favor
Female,Favor
Female,Favor
Male,Favor
Female,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Favor
Female,Favor
Female,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Male,Oppose
Female,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Favor
Male,Favor
Female,Oppose
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Favor
Male,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Oppose
Female,Favor
Male,Oppose
Male,Favor
Male,Favor
Male,Favor
Male,Favor
Female,Favor
Female,Oppose
Female,Favor
Female,Oppose
Male,Favor
Male,Oppose
Female,Favor
Female,Oppose
Male,Favor
Female,Oppose
Female,Favor
Female,Favor
Male,Oppose
Male,Favor
Female,Oppose
Female,Favor
Male,Oppose
Female,Oppose
Female,Favor
Male,Favor
Female,Favor
Male,Favor
