Temp,Pressure
372.4833333,0.976263752
372.15,0.954473195
371.15,0.934855009
367.8722222,0.825400907
366.8166667,0.792949019
366.5388889,0.781017686
366.2055556,0.769687933
364.8166667,0.731654721
364.4833333,0.732857881
364.4277778,0.723700499
364.0388889,0.722062866
362.8166667,0.684464128
362.9277778,0.675507273
361.7055556,0.660334094
361.5388889,0.651377239
361.2611111,0.647901445
360.65,0.630622736
360.2611111,0.613477712
360.0944444,0.618524298
358.5388889,0.577082134
358.7055556,0.575544763
358.4833333,0.570230808
357.65,0.566788435
357.9277778,0.564181589
357.65,0.562042639
357.15,0.547604724
356.7055556,0.542591559
356.4277778,0.538280237
356.4277778,0.532331281
355.9277778,0.532030491
355.7055556,0.513882834